iter	Passed	Remaining
0	61	9127
1	65	4814
2	69	3385
3	72	2649
4	76	2205
5	79	1905
6	83	1702
7	88	1571
8	92	1443
9	95	1338
10	99	1255
11	103	1185
12	106	1124
13	110	1072
14	115	1035
15	119	1001
16	123	966
17	127	935
18	133	917
19	137	891
20	140	864
21	145	845
22	149	825
23	153	806
24	157	786
25	162	773
26	166	758
27	170	743
28	174	728
29	178	714
30	184	706
31	188	693
32	192	681
33	196	670
34	201	660
35	204	647
36	208	636
37	212	626
38	216	615
39	219	604
40	223	593
41	227	585
42	231	576
43	235	566
44	239	558
45	243	549
46	247	542
47	251	534
48	256	527
49	260	521
50	265	515
51	270	509
52	274	502
53	279	496
54	283	489
55	288	484
56	292	477
57	296	470
58	300	463
59	304	456
60	309	451
61	314	445
62	318	440
63	323	434
64	327	428
65	331	421
66	335	416
67	339	409
68	344	404
69	348	398
70	353	393
71	358	388
72	363	383
73	372	382
74	377	377
75	384	374
76	391	371
77	400	369
78	405	364
79	412	361
80	425	362
81	431	357
82	437	352
83	441	347
84	447	341
85	453	337
86	458	332
87	467	329
88	472	323
89	477	318
90	484	314
91	488	308
92	494	303
93	501	298
94	510	295
95	516	290
96	520	284
97	524	278
98	535	275
99	540	270
100	545	264
101	554	260
102	563	257
103	567	251
104	578	247
105	584	242
106	588	236
107	597	232
108	613	230
109	623	226
110	628	220
111	633	214
112	639	209
113	653	206
114	663	201
115	668	195
116	675	190
117	681	184
118	685	178
119	695	173
120	699	167
121	705	161
122	710	156
123	715	149
124	724	144
125	731	139
126	737	133
127	745	128
128	752	122
129	759	116
130	764	110
131	770	105
132	777	99
133	789	94
134	794	88
135	800	82
136	805	76
137	810	70
138	821	65
139	827	59
140	837	53
141	842	47
142	847	41
143	859	35
144	867	29
145	872	23
146	877	17
147	886	11
148	892	5
149	897	0
